AVG,year,player,fantasyPts,position,bucket,median,expected_diff,player_id
218.0,2017,Jesse James,98.2,TE,4,72.05,26.15,2463
224.3,2017,Zach Miller,55.6,TE,4,72.05,-16.45,171
226.7,2017,Vance McDonald,38.8,TE,4,72.05,-33.25,1587
252.7,2017,Vernon Davis,125.8,TE,5,70.5,55.3,200
257.0,2017,George Kittle,106.5,TE,5,70.5,36.0,4217
259.7,2017,Benjamin Watson,137.2,TE,5,70.5,66.7,663
263.0,2017,Tyler Higbee,60.5,TE,5,70.5,-10.0,3271
272.0,2017,Jermaine Gresham,77.2,TE,5,70.5,6.7,530
283.0,2017,Gerald Everett,53.7,TE,5,70.5,-16.8,4089
284.0,2017,Dion Sims,39.0,TE,6,51.7,-12.7,1357
314.5,2017,Adam Shaheen,42.7,TE,6,51.7,-9.0,4085
323.0,2017,Maxx Williams,30.2,TE,6,51.7,-21.5,2360
336.5,2017,Seth DeValve,78.5,TE,6,51.7,26.8,3296
339.0,2017,Trey Burton,77.8,TE,6,51.7,26.1,1793
339.0,2017,Richard Rodgers,34.0,TE,6,51.7,-17.7,2146
341.0,2017,Ryan Griffin,34.8,TE,7,36.75,-1.95,1425
345.0,2017,A.J. Derby,57.4,TE,7,36.75,20.65,2503
346.0,2017,Marcedes Lewis,85.8,TE,7,36.75,49.05,111
355.0,2017,Lance Kendricks,44.3,TE,7,36.75,7.55,964
366.0,2017,Clive Walford,17.0,TE,7,36.75,-19.75,2373
374.0,2017,Virgil Green,39.1,TE,7,36.75,2.35,868
383.0,2017,Jeff Heuerman,35.2,TE,8,28.1,7.1,2397
3.0,2017,Antonio Brown,308.3,WR,0,273.95,34.35,536
4.0,2017,Julio Jones,251.9,WR,0,273.95,-22.05,947
5.0,2017,Odell Beckham Jr.,74.0,WR,0,273.95,-199.95,2078
6.7,2017,Mike Evans,201.1,WR,0,273.95,-72.8500000000001,2216
8.0,2017,A.J. Green,230.8,WR,0,273.95,-43.15,830
11.3,2017,Jordy Nelson,137.2,WR,0,273.95,-136.75,175
13.3,2017,Michael Thomas,258.5,WR,1,227.8,30.7,3199
18.0,2017,Dez Bryant,188.4,WR,1,227.8,-39.4,574
18.7,2017,Amari Cooper,158.4,WR,1,227.8,-69.4,2309
20.3,2017,T.Y. Hilton,177.6,WR,1,227.8,-50.2,1110
22.7,2017,Doug Baldwin,221.3,WR,1,227.8,-6.5,988
23.3,2017,Brandin Cooks,219.2,WR,1,227.8,-8.60000000000002,2197
27.7,2017,DeAndre Hopkins,311.8,WR,2,226.2,85.6,1426
29.3,2017,Demaryius Thomas,207.9,WR,2,226.2,-18.3,560
32.0,2017,Terrelle Pryor Sr.,50.0,WR,2,226.2,-176.2,1020
32.7,2017,Keenan Allen,278.2,WR,2,226.2,52.0,1479
37.0,2017,Alshon Jeffery,189.9,WR,2,226.2,-36.3,1149
40.3,2017,Allen Robinson II,2.7,WR,2,226.2,-223.5,1992
