Player,AVG,year,fantasyPts,position,bucket,median,expected_diff
Tyler Lockett,162.7,2017,118.3,WR,9,98.55000000000001,19.749999999999986
Taylor Gabriel,165.3,2017,81.7,WR,9,98.55000000000001,-16.85000000000001
Cooper Kupp,166.3,2017,178.9,WR,9,98.55000000000001,80.35
Kenny Stills,167.7,2017,178.7,WR,10,101.9,76.79999999999998
Kenny Golladay,170.7,2017,94.6,WR,10,101.9,-7.300000000000011
Mohamed Sanu,171.0,2017,168.3,WR,10,101.9,66.4
John Ross,173.3,2017,1.2,WR,10,101.9,-100.7
Chris Thompson,179.3,2017,13.4,WR,10,101.9,-88.5
Robert Woods,193.3,2017,165.3,WR,10,101.9,63.400000000000006
J.J. Nelson,196.7,2017,95.5,WR,11,74.25,21.25
Allen Hurns,197.0,2017,99.4,WR,11,74.25,25.150000000000006
Danny Amendola,197.0,2017,138.9,WR,11,74.25,64.65
Breshad Perriman,200.0,2017,17.7,WR,11,74.25,-56.55
Devin Funchess,202.7,2017,195.0,WR,11,74.25,120.75
Mike Williams,202.7,2017,20.5,WR,11,74.25,-53.75
Kendall Wright,203.7,2017,126.4,WR,12,95.5,30.900000000000006
Torrey Smith,205.7,2017,90.7,WR,12,95.5,-4.799999999999997
Tavon Austin,218.3,2017,50.7,WR,12,95.5,-44.8
Travis Benjamin,222.3,2017,124.3,WR,12,95.5,28.799999999999997
Paul Richardson,225.0,2017,150.3,WR,12,95.5,54.80000000000001
Marquise Goodwin,225.3,2017,168.6,WR,12,95.5,73.1
Chris Conley,226.0,2017,28.5,WR,13,78.35,-49.849999999999994
Jaron Brown,227.0,2017,102.7,WR,13,78.35,24.35000000000001
Nelson Agholor,233.7,2017,187.5,WR,13,78.35,109.15
ArDarius Stewart,244.3,2017,16.9,WR,13,78.35,-61.449999999999996
Curtis Samuel,246.3,2017,32.9,WR,13,78.35,-45.449999999999996
Josh Gordon,246.3,2017,57.5,WR,13,78.35,-20.849999999999994
Brandon LaFell,254.3,2017,124.8,WR,14,82.2,42.599999999999994
Brandon Coleman,254.5,2017,77.4,WR,14,82.2,-4.799999999999997
Terrance Williams,254.7,2017,111.3,WR,14,82.2,29.099999999999994
Dede Westbrook,259.3,2017,66.9,WR,14,82.2,-15.299999999999997
Phillip Dorsett,261.0,2017,32.1,WR,14,82.2,-50.1
Tyler Boyd,262.0,2017,56.5,WR,14,82.2,-25.700000000000003
Jermaine Kearse,263.3,2017,176.0,WR,15,54.0,122.0
Kasen Williams,263.5,2017,17.4,WR,15,54.0,-36.6
Damiere Byrd,265.0,2017,33.7,WR,15,54.0,-20.299999999999997
Chad Williams,268.0,2017,9.4,WR,15,54.0,-44.6
JuJu Smith-Schuster,269.3,2017,191.7,WR,15,54.0,137.7
Michael Floyd,271.5,2017,17.8,WR,15,54.0,-36.2
Cordarrelle Patterson,272.0,2017,86.0,WR,16,48.7,37.3
Eli Rogers,274.7,2017,38.9,WR,16,48.7,-9.800000000000004
Laquon Treadwell,277.3,2017,40.0,WR,16,48.7,-8.700000000000003
