AVG,year,player,fantasyPts,position,bucket,median,expected_diff,sleeper_id,player_id
8.0,2017,A.J. Green,230.8,WR,0,273.95000000000005,-43.150000000000034,8140,830
11.3,2017,Jordy Nelson,137.2,WR,0,273.95000000000005,-136.75000000000006,8140,175
13.3,2017,Michael Thomas,258.5,WR,1,227.8,30.69999999999999,8140,3199
18.0,2017,Dez Bryant,188.4,WR,1,227.8,-39.400000000000006,8140,574
18.7,2017,Amari Cooper,158.4,WR,1,227.8,-69.4,8140,2309
20.3,2017,T.Y. Hilton,177.6,WR,1,227.8,-50.20000000000002,8140,1110
22.7,2017,Doug Baldwin,221.3,WR,1,227.8,-6.5,8140,988
23.3,2017,Brandin Cooks,219.2,WR,1,227.8,-8.600000000000023,8140,2197
27.7,2017,DeAndre Hopkins,311.8,WR,2,226.2,85.60000000000002,8140,1426
29.3,2017,Demaryius Thomas,207.9,WR,2,226.2,-18.299999999999983,8140,560
32.0,2017,Terrelle Pryor Sr.,50.0,WR,2,226.2,-176.2,8140,1020
32.7,2017,Keenan Allen,278.2,WR,2,226.2,52.0,8140,1479
37.0,2017,Alshon Jeffery,189.9,WR,2,226.2,-36.29999999999998,8140,1149
40.3,2017,Allen Robinson II,2.7,WR,2,226.2,-223.5,8140,1992
40.3,2017,Davante Adams,222.5,WR,3,209.45,13.050000000000011,8140,2133
41.0,2017,Tyreek Hill,241.2,WR,3,209.45,31.75,8140,3321
46.0,2017,Michael Crabtree,167.8,WR,3,209.45,-41.64999999999998,8140,455
46.3,2017,Sammy Watkins,146.3,WR,3,209.45,-63.14999999999998,8140,1817
47.7,2017,Golden Tate,224.5,WR,3,209.45,15.050000000000011,8140,642
48.7,2017,Jarvis Landry,264.0,WR,3,209.45,54.55000000000001,8140,1825
51.3,2017,Larry Fitzgerald,260.6,WR,4,166.3,94.3,8140,223
52.3,2017,Martavis Bryant,130.5,WR,4,166.3,-35.80000000000001,8140,1916
54.3,2017,Stefon Diggs,198.2,WR,4,166.3,31.899999999999977,8140,2449
55.3,2017,Kelvin Benjamin,135.2,WR,4,166.3,-31.100000000000023,8140,2182
61.3,2017,Emmanuel Sanders,114.5,WR,4,166.3,-51.80000000000001,8140,538
64.7,2017,Jamison Crowder,166.3,WR,4,166.3,0.0,8140,2410
68.3,2017,Willie Snead IV,17.2,WR,5,143.10000000000002,-125.90000000000002,8140,1911
69.0,2017,Brandon Marshall,33.4,WR,5,143.10000000000002,-109.70000000000002,8140,648
